area_sqft,bedrooms,bathrooms,floors,age_years,garage,garden,swimming_pool,location_score,distance_city,school_nearby,furnishing,price_usd,price_per_sqft,total_rooms,amenity_score,age_category,location_tier
1460.0,4,3,2,1.0,0,1,0,8.6,37.6,1,0,287200.0,196.71,7,1,3,2
4372.0,1,1,2,31.0,0,1,0,9.2,6.0,1,1,559400.0,127.95,2,1,0,2
3692.0,3,3,2,49.0,0,0,1,4.9,11.6,0,0,439700.0,119.1,6,2,0,1
1066.0,3,2,1,21.0,1,0,0,5.6,7.8,0,1,245300.0,230.11,5,1,1,1
5026.0,3,3,1,42.0,0,0,0,3.9,6.9,0,1,474300.0,94.37,6,0,0,1
4044.0,2,2,1,12.0,1,0,0,4.0,0.7,0,0,408200.0,100.94,4,1,2,1
3771.0,5,4,1,7.0,0,1,0,6.0,1.6,1,2,555200.0,147.23,9,1,2,1
3519.0,3,3,2,0.0,0,1,0,2.2,21.5,0,1,296800.0,84.34,6,1,3,0
730.0,3,3,3,16.0,1,0,0,7.2,5.3,1,2,308300.0,422.33,6,1,1,2
2285.0,3,2,3,11.0,1,0,0,5.8,9.5,0,0,377800.0,165.34,5,1,2,1
1369.0,3,2,2,3.0,1,0,1,6.9,7.5,1,0,311300.0,227.39,5,3,3,2
2991.0,4,4,1,12.0,0,0,0,5.1,4.8,0,0,467700.0,156.37,8,0,2,1
3033.0,3,3,1,30.0,1,0,0,6.8,4.9,1,0,404000.0,133.2,6,1,1,2
1784.0,5,4,2,40.0,1,0,0,6.0,8.1,1,0,312200.0,175.0,9,1,0,1
5155.0,3,3,2,6.0,1,1,0,6.5,1.5,1,0,584100.0,113.31,6,2,2,1
3985.0,6,4,2,22.0,0,0,0,7.3,4.9,1,2,586300.0,147.13,10,0,1,2
4717.0,5,4,2,23.0,1,0,0,3.0,5.9,0,2,508200.0,107.74,9,1,1,0
5443.0,2,1,2,4.0,0,1,0,4.1,42.1,0,2,389600.0,71.58,3,1,3,1
3504.0,5,4,2,4.0,1,0,0,10.0,4.3,1,2,613500.0,175.09,9,1,3,2
1074.0,2,2,1,16.0,0,0,1,5.9,10.3,0,1,240800.0,224.21,4,2,1,1
